,Spill Number,Date Spill Reported,Spill Name,County,City/Town,Address,
43,2104861,8/22/2021,CON ED O/H TRANSFORMER LEAK ,Westchester,  NEW ROCHELLE ,  16 PIERCE ST , 
44,2104862,8/22/2021,SUMP ,Orange,  CORNWALL ,  1630 NY 94 , 
45,2104863,8/23/2021,MANHOLE 62631 CON ED ,New York,  MANHATTAN ,  UPDATE EST 12TH SZOLD PLACE , 
46,2104864,8/23/2021,STREET ,Orange,  WESTPOINT ,  849 UPTON ROAD , 
47,2104865,8/23/2021,COMMERCIAL ,New York,  MANHATTAN ,  PRINCE STREET AND CROSBY STREET , 
48,2104867,8/23/2021,K287 SCHOOL ,Kings,  BROOKLYN ,  50 NAVY ST , 
49,2104868,8/23/2021,HYDRAULICOIL_HISTORIC ,Cortland,  HOMER ,  207 SOUTH MAIN STREET , 
50,2104869,8/23/2021,TRAVEL CENTER TRUCK STOP ,Genesee,  PENBROOK ,  8484 ALLEGHENY RD , 
51,2104870,8/23/2021,CONCRETE ,Westchester,  ELMSFORD ,  6 WAREHOUSE LANE , 
52,2104871,8/23/2021,CONSTRUCTION SITE ,Warren,  QUEENSBURY ,  627 RIDGE RD. , 
53,2104872,8/23/2021,RESIDENTIAL ,Dutchess,  MILLERTON ,  5 OLD POST RD. #3 , 
54,2104873,8/23/2021,SUFFOLK CO LANDBANK ,Suffolk,  ISLANDIA ,  169 SYCAMORE LANE , 
55,2104874,8/23/2021,STEERT ,Queens,  QUEENS ,  80-46 90TH RD , 
56,2104875,8/23/2021,PAVEMENT ,Erie,  DEPEW ,  3327 WALDEN AVE , 
57,2104876,8/23/2021,WHEELER SACK ARMY AIRFIELD ,Jefferson,  FORT DRUM ,  WEST RAMP (CLOSEST RD RT26) , 
58,2104877,8/23/2021,RIVER'S CROSSING CAMPGROUND ,Seneca,  SAVANNAH ,  508 ST RT 89 , 
59,2104878,8/23/2021,KNOLLS ATOMIC ENERGY LAB ,Schenectady,  NISKAYUNA ,  2401 RIVER RD , 
60,2104879,8/23/2021,LAKE HUNTINGTON ,Sullivan,  LAKE HUNTINGTON ,  RT 52 , 
61,2104880,8/23/2021,RESIDENTIAL ,Montgomery,  AMSTERDAM ,  865 BULLSHEAD RD , 
62,2104881,8/23/2021,ALLING - UST ,Westchester,  GRANITE SPRINGS ,  3 GRANITE BROOK DRIVE , 
63,2104882,8/23/2021,RESIDENCE ,Queens,  QUEENS ,  42-65 KISSENA BLVD , 
64,2104883,8/23/2021,PAVEMENT ,Saratoga,  WATERFORD ,  260 HUDSON RIVER ROAD , 
65,2104884,8/23/2021,STREET ,Erie,  TONAWANDA ,  112 SHERIDAN DR , 
66,2104885,8/23/2021,ROADWAY ,Westchester,  PORT CHESTER ,  PONINGO ST AND WESTCHESTER AVE , 
67,2104886,8/23/2021,SHERIDAN RESIDENCE ,Suffolk,  CENTERPORT ,  51 STONY HOLLOW RD , 
68,2104988,8/23/2021,ALLWOOD RESIDENCE ,Greene,  ACRA ,  1280 CR 31 , 
69,2104887,8/23/2021,CON ED POLE 12467 ,Kings,  BROOKLYN ,  IN FRONT 9129 AVE N , 
70,2104888,8/23/2021,GAS CAN SPILL ,Jefferson,  FORT DRUM ,  ONTARIO AVE EUPHRATES VALLEY RD , 
71,2104889,8/23/2021,COMMERCIAL ,Putnam,  MAHOPAC ,  45 LAKE SHORE DR , 
72,2104890,8/23/2021,EASTERN GAS TRANSMISSION AND STORAGE ,Steuben,  CORNING ,  2318 CATON RD , 
73,2104891,8/23/2021,CASELLA WASTE ,Clinton,  SARANAC ,  69 PICKETTS CORNERS RD , 
74,2104892,8/23/2021,WAITE RESIDENCE ,Franklin,  BANGOR ,  2577 STATE ROUTE 11B , 
75,2104893,8/23/2021,HILLSIDE GARDENS APARTMENTS ,Oneida,  NEW HARTFORD ,  245 OXFORD RD REAR OF COMPLEX , 
76,2104895,8/23/2021,GROUND ,Ulster,  OLIVE ,  4131 RT 28 , 
77,2104896,8/23/2021,7-ELEVEN GAS STATION ,Nassau,  HEMPSTEAD ,  1 JERUSALEM AVE , 
78,2104897,8/23/2021,CUMBERLAND FARMS 3113 ,Orange,  WINDSOR ,  405 BLOOMINGROVE TURNPIKE , 
79,2104898,8/23/2021,MULTI-FAM RES - UST ,Westchester,  MOUNT VERNON ,  37 EAST LINCOLN AVE , 
80,2104899,8/23/2021,NATIONAL GRID TRUCK ,Monroe,  BROCKPORT ,  5905 LAKE RD , 
81,2104900,8/23/2021,SUNY BINGHAMTON ,Broome,  BINGHAMTON ,  4400 VESTAL PARKWAY EAST , 
82,2104901,8/23/2021,RESIDENTIAL ,Queens,  QUEENS ,  191-10 CROCHERON AVE , 
83,2105194,8/23/2021,BUILDING ,Erie,  TONAWANDA ,  10 BROUGHTON STREET , 
84,2104902,8/23/2021,WESTCHESTER CO AIPORT ,Westchester,  WHITE PLAINS ,  240 AIRPORT RD , 
85,2104903,8/23/2021,RESIDENTIAL ,Saratoga,  CLIFTON PARK ,  31 VALENCIA , 
86,2104904,8/23/2021,CORNELL ROLLOFF RELEASED PRODUCT WHEN PICKED UP ,Tompkins,  ITHACA ,  251 SOLIDAGO RD , 
87,2104905,8/23/2021,CARBOY RESIDENCE ,Nassau,  HICKSVILLE ,  8 FORDHAM AVE , 
88,2104906,8/23/2021,COMMERCIAL ,Ulster,  MARLBORO ,  5502 US RT9W , 
89,2104907,8/23/2021,WAGNER RESIDENCE ,Nassau,  WOODMERE ,  553 ALLEN RD , 
90,2104908,8/23/2021,ROADWAY ,Saratoga,  CLIFTON PARK ,  31 VALENCIA , 
91,2104909,8/23/2021,CROW RESIDENCE ,Oswego,  HANNIBAL ,  1147 COUNTY RTE 7 , 
92,2104910,8/23/2021,CALLER APT ,New York,  NEW YORK ,  237 MADISON AV APT 802 , 
93,2104911,8/23/2021,INSIDE RAILYARD ,Erie,  CHEEKTOWAGA ,  300 KENNEDY RD , 
94,2104912,8/23/2021,BP STATION 19582 ,Nassau,  JERICHO ,  39 JERICHO TURNPIKE , 
95,2104913,8/23/2021,RESIDENTIAL ,Ulster,  SHOKAN ,  3592 RT 28 , 
96,2104914,8/23/2021,GREAT SACANDAGA LAKE ,Saratoga,  NORTHVILLE ,  431 SOUTH SHORE DR , 
97,2104915,8/23/2021,NATIONAL GRID ,Rensselaer,  EAST GREENBUSH ,  583 COLUMBIA TURNPIKE , 
98,2104916,8/23/2021,UNKNOWN NO SPILL ,Nassau,  NEW HYDE PARK ,  85 DENTON AVE , 
99,2104917,8/23/2021,BLACK WATER IN LITTLE NANTICOKE CREEK ,Tioga,  OWEGO ,  359 HICKORIES PARK RD; , 
100,2104918,8/23/2021,SKANEATELES CC GOLF COURSE ,Onondaga,  SKANEATELES ,  3357 KANE AVE , 
101,2104919,8/23/2021,IFO ,Queens,  QUEENS ,  118-14 83 AVE , 
102,2104920,8/23/2021,WEGMANS ,Monroe,  ROCHESTER ,  300 WEGMANS ST; BAY #62 , 
103,2104921,8/24/2021,CONCERT ASPHALT ,New York,  NEW YORK ,  303 SOUTH ST & MONTEGUMARY ST , 
104,2104922,8/24/2021,CUMBERLAND FARMS ,Greene,  CATSKILL ,  203 JEFFERSON HEIGHTS , 
105,2104923,8/24/2021,COMMERCIAL ,Onondaga,  BALDWINSVILLE ,  2885 BELGIUM RD , 
106,2104924,8/24/2021,FEEDER M52 ,New York,  MANAHATTAN ,  637 W49TH MANHATTAN/ SPAINBROOK YONKERS , 
107,2104925,8/24/2021,LAKE ONTARIO ,Oswego,  MEXICO ,  470 ST RT 104B , 
108,2104926,8/24/2021,LEE ST MVWA EXCAVATION ,Oneida,  UTICA ,  LEE ST , 
109,2104927,8/24/2021,CLINTON CREST MANOR - SPILL BUCKET FAILURE ,Yates,  PEN YANN ,  411 CLINTON ST , 
110,2104928,8/24/2021,COMMERCIAL ,Suffolk,  GREENLAWN ,  BROADWAY AND PULASKI RD. , 
111,2104929,8/24/2021,DRILL DRILL DRILL ,Chemung,  PINE CITY ,  545 HENDY CREEK RD , 
112,2104930,8/24/2021,RESIDENCE ,Ulster,  ELLENVILLE ,  560 ULSTER HEIGHTS RD , 
113,2104931,8/24/2021,COMMERCIAL ,Suffolk,  KINGS PARK ,  395 SUNKEN MEADOW RD , 
114,2104932,8/24/2021,STEWARTS SHOP # 444 ,Saratoga,  WILTON ,  445 NORTHERN PINES RD , 
115,2104933,8/24/2021,NORLITE ,Albany,  COHOES ,  628 SOUTH SARATOGA RD , 
116,2104934,8/24/2021,RESIDENTIAL ,Westchester,  CHAPPAQUA ,  34 SMITH STREET , 
117,2104935,8/24/2021,64 CENTER AVE & 8 WESTCHESTER ST ,Westchester,  NEW ROCHELLE ,  64 CENTER AVE & 8 WESTCHESTER ST , 
118,2104936,8/24/2021,UNKNOWN ,Nassau,  VALLEY STREAM ,  753 ROCKAWAY AVE , 
119,2104937,8/24/2021,LEVEE CONDUIT REPLACMENT ENCOUNTERED CONTAMINATION ,Broome,  LISLE ,  IMMEDIATELY NORTH OF STATE HIGHWAY 79 , 
120,2104938,8/24/2021,NYSEG TRANSFORMER ,Chemung,  ELMIRA HEIGHTS ,  236 - 243 PRESCOTT AVE , 
121,2104939,8/24/2021,RESIDENTIAL ,Westchester,  HARRISON ,  716 NEW LAKE RD , 
122,2104940,8/24/2021,CAR IN CREEK ,Rensselaer,  CASTLETON-ON-HUDSON ,  999 ST RT 9 , 
123,2104941,8/24/2021,COMMERCIAL ,Queens,  QUEENS ,  HARD STAND 8- JFK TERMINAL 4 , 
124,2104942,8/24/2021,ALCOA ST-172 FLEET DISP ,St Lawrence,  MASSENA ,  1814 STATE HIGHWAY 131 , 
125,2104943,8/24/2021,COUNTY WASTE ,Schenectady,  SCHENECTADY ,  150 CORLAER AVE , 
126,2104944,8/24/2021,SCHOOL ,Suffolk,  BAY SHORE ,  1700 UNION BLVD , 
127,2104945,8/24/2021,TRANSFORMER ,Monroe,  IRONDEQUOIT ,  154 DIERDRE DRIVE , 
128,2104946,8/24/2021,EASTERN GAS TRANSMISSION ,Chemung,  HORSHEADS ,  86 HICKORY GROVE RD , 
129,2104947,8/24/2021,HEATING OIL TANK BROKEN FUEL LINE ,Chenango,  NORWICH ,  120 HOAG RD , 
130,2104949,8/24/2021,DIESEL ON ROADWAY ,Monroe,  PARMA ,  16 MOUL RD , 
131,2104950,8/24/2021,JIFFY LUBE ,Suffolk,  PATCHOGUE ,  452 MEDFORD AVENUE , 
132,2104951,8/24/2021,7-11 GAS STATION ,Suffolk,  HOLTSVILLE ,  984 WAVERLY AVENUE , 
133,2104952,8/24/2021,EXCAVATION SITE ,Kings,  BROOKLYN ,  VANDERBUILT/PARK AVE , 
134,2104953,8/24/2021,HYDRAULICOIL_WESSON ,Broome,  WINDSOR ,  303 WILLIAM LAW ROAD , 
135,2104954,8/24/2021,STOP N SHOP ,Suffolk,  HUNTINGTON STATION ,  1100 EAST JERICHO TURNPIKE , 
136,2104955,8/24/2021,COMMERCIAL ,Saratoga,  WATERFORD ,  260 HUDSON RIVER ROAD , 
137,2104956,8/24/2021,NATIONAL GRID ,Albany,  DELMAR ,  1711 DELAWARE TPK , 
138,2104957,8/24/2021,MOMENTIVE SCS ,Saratoga,  WATERFORD ,  260 HUDSON RIVER RD , 
139,2104958,8/25/2021,UNKNOWN ,Suffolk,  LINDENHURST ,  290 E SUNRISE HIGHWAY , 
140,2104959,8/25/2021,UNKNOWN ,Suffolk,  EASTPORT ,  26 EASTPORT MANOR RD , 
141,2104960,8/25/2021,CSX RAILYARD ,Albany,  SELKIRK ,  1 BELL CROSSING , 
142,2104961,8/25/2021,RESIDENTIAL ,Warren,  CHESTERTOWN ,  BUILDING 27 BALSAM CREST RD , 
143,2104962,8/25/2021,NYS DOT RESIDENCY ,Rockland,  NYACK ,  224 TOWNLINE RD , 
144,2104963,8/25/2021,SOIL ,Cattaraugus,  SOUTH DAYTON ,  7755 NY83 , 
145,2104964,8/25/2021,RESIDENCE ,New York,  MANHATTAN ,  1367 5TH AVE , 
146,2104971,8/25/2021,BRAND PARK PUMP STATION ,Chemung,  ELMIRA ,  395 ROBINSON STREET , 
147,2104965,8/25/2021,ZIHENNI PROPERTY ,Westchester,  HARRISON ,  4 PILGRIM ROAD , 
148,2104966,8/25/2021,CASELLA WASTE ,Ontario,  STANLEY ,  1879 STATE ROUTE 5 , 
149,2104967,8/25/2021,CON ED POLE 17 O/H TRANSFORMER LEAK ,Westchester,  MOUNT VERNON ,  165 NORTH COLUMBUS AVE , 
150,2104968,8/25/2021,ROADWAY ,St Lawrence,  CANTON ,  286 IRISH SETTLEMENT RD , 
151,2104970,8/25/2021,DOLLAR GENERAL LOT ,Steuben,  CAMPBELL ,  8560 MAIN STREET , 
152,2104969,8/25/2021,SOIL ,Jefferson,  PHILADELPHIA ,  32735 CT RT 29 , 
153,2104972,8/25/2021,SPELLMAN RESIDENCE ,Nassau,  LOCUST VALLEY ,  28 CROSS STREET , 
154,2104973,8/25/2021,INDUSTRIAL ,Saratoga,  SOUTH GLENS FALLS ,  1 RIVER STREET , 
155,2104974,8/25/2021,SELKIRK ,Albany,  FEURA BUSH ,  1 BELL CROSSING RD , 
156,2104975,8/25/2021,RESIDENTIAL ,Essex,  LAKE PLACID ,  578 MOUNT WHITNEY , 
157,2104976,8/25/2021,SUNOCO SS ,Orange,  MONROE ,  771 ROUTE 17M , 
158,2104977,8/25/2021,QUICKCHEK GAS STATION ,Suffolk,  COMMACK ,  6233 JERICHO TURNPIKE , 
159,2104978,8/25/2021,BROWN RES (275 AST) ,Orange,  DEERPARK ,  736 MOCKINGBIRD LANE , 
160,2104979,8/25/2021,CASEY - UST ,Westchester,  KATONAH ,  19 PLUM BROOK RD , 
161,2104980,8/25/2021,ROADWAY ,Cattaraugus,  CATTARAGUS ,  STATE ROUTE 353 , 
162,2104981,8/25/2021,LS POWER ,Albany,  ALTAMONT ,  700 ST RT 146 , 
163,2104982,8/25/2021,E13TH SUB STATION ,New York,  MANHATTAN ,  723 E 13TH ST , 
164,2104983,8/25/2021,UTSCHIG - UST ,Westchester,  PLEASANTVILLE ,  41 SARATOGA AVE , 
165,2104984,8/25/2021,ONEIDA COUNTY PARKING GARAGE ,Oneida,  UTICA ,  ORISKANY ST WEST , 
166,2104985,8/25/2021,CONVENIENT FOOD MART ,Monroe,  ROCHESTER ,  1404 NORTON STREET , 
167,2104986,8/25/2021,SOIL ,Queens,  LONG ISLAND CITY ,  4601 37TH AVE , 
168,2104987,8/25/2021,NATIONAL GRID ,Montgomery,  AMSTERDAM ,  923 LANGLEY ST , 
169,2104989,8/25/2021,NATIONAL GRID ,Rensselaer,  TROY ,  10 COLIDGE AVE , 
170,2104990,8/25/2021,SOIL AND ST ,Niagara,  NIAGARA FALLS ,  1713 ELMWOOD AVE , 
171,2104991,8/25/2021,DAY CARE CENTER - AST ,Westchester,  HAWTHORNE ,  5 BRADHURST AVENUE , 
172,2104992,8/25/2021,BEALL - UST ,Westchester,  WHITE PLAINS ,  17 GARDEN STREET , 
173,2104993,8/25/2021,NATIONAL GRID_380 NEW SCRIBA DR_POLE 28 ,Oswego,  RICHLAND ,  380 NEW SCRIBA DR , 
174,2104994,8/25/2021,TRAVEL AMERICA SITE ,Seneca,  WATERLOO ,  1255 ROUTE 414 , 
175,2104995,8/25/2021,TRAVEL AMERICA SITE ,Livingston,  DANSVILLE ,  9616 COMMERCE DRIVE , 
176,2104996,8/25/2021,WESTCHESTER AIRPORT SEWAGE ,Westchester,  WHITE PLAINS ,  240 AIRPORT ROAD , 
177,2104997,8/25/2021,COVANTA ,Niagara,  NIAGARA FALLS ,  100 ENERGY BLVD , 
178,2104998,8/25/2021,RESIDENTIAL ,Westchester,  CROTON ON HUDSON ,  8 VALLEY TRAIL , 
179,2104999,8/25/2021,UNKNOWN ,Suffolk,  BAY SHORE ,  119 WEST BAY SHORE RD , 
180,2105000,8/25/2021,UNKNOWN ,Nassau,  PLAINVIEW ,  12 MACARTHUR AVE , 
181,2105001,8/25/2021,FELICE AUTO REPAIR AND GAS ,Suffolk,  BLUE POINT ,  135 MONTAUK HWY , 
182,2105002,8/25/2021,LAGUARDIA AIRPORT ,Queens,  QUEENS ,  TERMINAL B , 
183,2105003,8/25/2021,PADMOUNT 58667/41185 ,Rockland,  NEW CITY ,  55 GERARDINE PLACE , 
184,2105004,8/26/2021,ROAD AND SOIL ,Saratoga,  GANESVOORT ,  27 WORTH RD , 
185,2105005,8/26/2021,POLE 3 ,Cattaraugus,  HINSDALE ,  1435 MILL ST , 
186,2105006,8/26/2021,UNKNOWN NO SPILL ,Nassau,  WOODBURY ,  2 SWENSON DRIVE , 
187,2105007,8/26/2021,AERIAL CABLE ,Westchester,  SCARSDALE ,  30 WALWORTH AVE , 
188,2105008,8/26/2021,JOHNSTOWN GULF STATION ,Fulton,  JOHNSTOWN ,  100 SOUTH COMRIE AVE , 
189,2105009,8/26/2021,POLE 26 ,Fulton,  JOHNSTOWN ,  292 JOHNSON AVE , 
190,2105024,8/26/2021,FARM FIELD IRRIGATION WELL ,Steuben,  BATH ,  7334 NY-54 , 
191,2105010,8/26/2021,RESIDENCE ,Nassau,  LEVITTOWN ,  8 PLOVER LANE , 
192,2105011,8/26/2021,COMMERCIAL ,Erie,  BUFFALO ,  184 READING AVE , 
193,2105012,8/26/2021,ROSENFELD PROPERTY ,Orange,  NEW WINDSOR ,  3068 US ROUTE 9W , 
194,2105013,8/26/2021,SOIL ,Albany,  LATHAM ,  WATERVLIET SHAKER ROAD , 
195,2105014,8/26/2021,UNKNOWN ,Nassau,  SYOSSET ,  108 CANDY LANE , 
196,2105015,8/26/2021,COMMERCIAL ,Bronx,  BRONX ,  3083 WEBSTER AVE , 
197,2105016,8/26/2021,PICCIANO - UST ,Westchester,  PEEKSKILL ,  726 HOOVER AVE , 
198,2105017,8/26/2021,BUFFALO RIVER ,Erie,  BUFFALO ,  SMITH ST , 
199,2105018,8/26/2021,ROADWAY ,Seneca,  SENECA FALLS ,  NY RTS 5&20 AND RUMSEY ST , 
200,2105020,8/26/2021,AGRICULTURAL ,Madison,  DERUYTER ,  FAIR BANKS RD SOUTH OF DERUYTER STATE FOREST , 
201,2105019,8/26/2021,RESIDENCE ,Niagara,  LEWISTON ,  5167 HOLMSTEAD PL , 
202,2105021,8/26/2021,COMMERCIAL - RAILYARD IN TONAWANDA ,Erie,  TONAWANDA ,  300 RIVERVIEW BLVD , 
203,2105022,8/26/2021,RESIDENCE ,Suffolk,  SAG HARBOR ,  11 AMHERST RD , 
204,2105023,8/26/2021,SOIL ,Richmond,  STATEN ISLAND ,  1000 WEST SERVICE RD , 
205,2105025,8/26/2021,HYDRAULICOIL_WESSON ,Broome,  WINDSOR ,  369 WILLIAM LAW ROAD , 
206,2105026,8/26/2021,GIANGREGORIO RESIDENCE ,Suffolk,  EAST ISLIP ,  45 PERCY WILLIAMS DRIVE , 
207,2105027,8/26/2021,MUNICIPAL ,Oswego,  MEXICO ,  16 FRAVOR ROAD , 
208,2105038,8/26/2021,DELMEDICO RESIDENCE ,Monroe,  FAIRPORT ,  64 ASHLYN RISE , 
209,2105028,8/26/2021,FRITO-LAY - HISTORIC SPILL ,Sullivan,  LIBERTY ,  89 MILL ST , 
210,2105029,8/26/2021,SUBSTATION ,Oswego,  CENTRAL SQUARE ,  2341 CO RT 12 , 
211,2105030,8/26/2021,BENNETT PROPERTY ,Livingston,  DANSVILLE ,  9483 FOSTER WHEELER RD. , 
212,2105031,8/26/2021,RESIDENCE ,Nassau,  ROSLYN ,  13 CARRIAGE RD , 
213,2105032,8/26/2021,CLINTON COUNTY LANDFILL ,Clinton,  MORRISONVILLE ,  286 SAND RD , 
214,2105033,8/26/2021,LS POWER ,Schenectady,  SCHENECTADY ,  600 GORDAN RD , 
215,2105034,8/26/2021,REFRIGERANT_CORNELL ,Tompkins,  ITHACA ,  411 TOWER ROAD , 
216,2105035,8/26/2021,KENNEDY VALVE ,Chemung,  ELMIRA ,  1021 EAST WATER ST , 
217,2105036,8/26/2021,RESIDENCE ,Nassau,  OCEANSIDE ,  2485 COLUMBUS AVE , 
218,2105037,8/26/2021,COMMERCIAL ,New York,  MANHATTAN ,  700 EAST 16TH STREET FUEL STATION , 
219,2105039,8/26/2021,UNKNOWN ,Nassau,  EAST MEADOW ,  NEWBRIDGE RD / OLD WESTBURY RD , 
220,2105040,8/26/2021,PARNELL - UST ,Westchester,  ELMSFORD ,  40 NORTH GOODWIN AVE , 
221,2105041,8/26/2021,TRANSFORMER ,Dutchess,  WAPPINGERS FALLS ,  14 SWENSON DRIVE , 
222,2105042,8/26/2021,POLE 57763/40571 ,Rockland,  SPRING VALLEY ,  66 CHURCH ST , 
223,2105043,8/26/2021,7-11 / SUNOCO STATION ,Erie,  TONAWANDA ,  4010 DELAWARE AVE , 
224,2105044,8/26/2021,OCONNOR RESIDENCE ,Putnam,  MAHOPAC ,  15 HILLTOP DR , 
225,2105045,8/26/2021,CUMBERLAND FARMS ,Rensselaer,  HOOSICK FALLS ,  25 CHURCH ST , 
226,2105046,8/26/2021,RESIDENTIAL ,Ulster,  NAPANOCH ,  19 ELLA STREET , 
227,2105047,8/26/2021,CON ED AERIAL CABLE LEAK ,Westchester,  SCARSDALE ,  WALWORTH AVE AND GILMORE COURT , 
228,2105048,8/26/2021,TRANSFORMER ,Rockland,  MONSEY ,  30 MELNICK DR , 
229,2105049,8/26/2021,NORLITE ,Albany,  COHOES ,  SARATOGA RD (SARATOGA SITES APARTMENTS) , 
230,2105050,8/26/2021,UNKNOWN ,Nassau,  UNIONDALE ,  691 NASSAU RD , 
231,2105083,8/26/2021,RASON ASPHALT ,Nassau,  INWOOD ,  49 JOHNSON ROAD , 
232,2105051,8/26/2021,POLE 46453/52244 ,Orange,  MIDDLETOWN ,  210 POCATELLO ROAD , 
233,2105052,8/26/2021,SUNNYSIDE YARD ,Queens,  QUEENS ,  3985 39TH ST , 
234,2105053,8/26/2021,ROADWAY AND GRASS ,Tompkins,  DANBY ,  8 WEST MILLER RD , 
235,2105054,8/27/2021,TRANSFORMER ,Orange,  GREENWOOD LAKE ,  275 JERSEY AVE , 
236,2105055,8/27/2021,ROADWAY LEADING TO DITCH ,Livingston,  GROVELAND ,  1170 INTER STATE 390 NEAR EXIT 7 , 
237,2105056,8/27/2021,PILOT ,Genesee,  PEMBROKE ,  8484 ALLEGHENY RD , 
238,2105057,8/27/2021,UPS ,Steuben,  ERWIN ,  275 ROBERT DANN DRIVE , 
239,2105058,8/27/2021,NATIONAL GRID POLE 1015 ,Erie,  BUFFALO ,  1035 WILLIAM ST , 
240,2105059,8/27/2021,ORLEANS CORRECTIONAL FACILTY ,Orleans,  ALBION ,  3531 GAINES BASIN RD , 
241,2105060,8/27/2021,UNKNOWN ,Nassau,  EAST MEADOW ,  476 EAST MEADOW AVE , 
242,2105061,8/27/2021,SPUR TERRACE APARTMENTS ,Orange,  GREENWOOD LAKE ,  169 JERSEY AVE , 
