,Spill Number,Date Spill Reported,Spill Name,County,City/Town,Address,
30,2204510,8/22/2022,CASELLA HYD LEAK ,Livingston,  DANSVILLE ,  9475 AIRPORT PLAZA , 
31,2204511,8/22/2022,HOME DEPOT MOTOR OIL SPILL ,Greene,  LEEDS ,  695 RTE 23B , 
32,2204512,8/22/2022,CON ED TRANSFORMER VAULT 9521 ,Westchester,  WHITE PLAINS ,  360 HAMILTON AVE , 
33,2204513,8/22/2022,RESIDENCE ,Suffolk,  FORT SALONGA ,  602 A TWIN HILLS COURT , 
34,2204514,8/22/2022,BUMAGAT RESIDENCE ,Nassau,  LEVITTOWN ,  6 HILLTOP RD , 
35,2204515,8/22/2022,HICKLING RESIDENCE ,Suffolk,  MASTIC BEACH ,  59 SHERWOOD DRIVE , 
36,2204516,8/22/2022,CON ED U/G VAULT M5170 ,Westchester,  MAMARONECK ,  WAVERLY AVE AND FENIMORE RD , 
37,2204517,8/22/2022,CON ED U/G VAULT ,Westchester,  MAMARONECK ,  FENIMORE RD AND WAVERLY AVE , 
38,2204518,8/22/2022,BOAT MARINA SLIP 44 ,Monroe,  CHARLOTTE ,  60 PETTEN ST , 
39,2204519,8/22/2022,BUILDING ,New York,  MANAHATTAN ,  171 DUANE ST , 
40,2204520,8/22/2022,CUMBERLAND FARMS ,Nassau,  PLAINVIEW ,  1610 ROUND SWAMP ROAD , 
41,2204521,8/22/2022,COLOSI PROPERTY ,Oneida,  DEERFIELD ,  6710 ROBERTS RD , 
42,2204522,8/23/2022,UNKNOWN ,Nassau,  GREAT NECK ,  100 CLENT ROAD , 
43,2204523,8/23/2022,COUNTY WASTE ,Albany,  COHOES ,  233 ONTARIO ST , 
44,2204524,8/23/2022,BROOME COUNTY LANDFILL ,Broome,  BINGHAMTON ,  286 KNAPP RD , 
45,2204525,8/23/2022,DOLOMITE ASPHALT DRUM PLANT ,Ontario,  CLIFTON SPRINGS ,  1719 LOVERS LANE , 
46,2204526,8/23/2022,RES WIND POWER YARD ,Lewis,  LOWVILLE ,  8006 NUMBER THREE RD , 
47,2204527,8/23/2022,CSX ,Schenectady,  SCHENECTADY ,  700 ROTTERDAM INDUSTRIAL PARK , 
48,2204528,8/23/2022,KINDERHOOK CREEK ,Columbia,  VALATIE ,  RIVER ST , 
49,2204529,8/23/2022,LOPRESTI RESIDENCE ,Nassau,  MASSAPEQUA ,  3 LAKESHORE BLVD , 
50,2204530,8/23/2022,ROADWAY ,Onondaga,  CLAY ,  8141 TOSCANO DRIVE , 
51,2204532,8/23/2022,RIVERA RESIDENCE ,Greene,  CATSKILL ,  781 GREEN LAKE ROAD , 
52,2204533,8/23/2022,RESIDENTIAL UST ,Sullivan,  NARROWSBURG ,  251 BLIND POND RD , 
53,2204534,8/23/2022,MASTERSON UST ,Orange,  MONROE ,  25 POPLAR DRIVE , 
54,2204535,8/23/2022,RESIDENCE ,Suffolk,  CENTER MORICHES ,  48 HEWITT BLVD , 
55,2204536,8/23/2022,PROPOSED YMCA ,Genesee,  BATAVIA ,  9 WIARD ST , 
56,2204537,8/23/2022,HISTORIC_RIDGERD ,Tompkins,  LANSING ,  7 RIDGE ROAD , 
57,2204538,8/23/2022,DETAIL SHOP NEXT TO AUTO AUCTION ,Saratoga,  HALFMOON ,  RT 146 A , 
58,2204539,8/23/2022,COMMERCIAL ,Erie,  KENMORE ,  1311 SHERIDAN DRIVE , 
59,2204540,8/23/2022,STEWARTS #113 ,Jefferson,  WATERTOWN ,  705 WASHINGTON ST , 
60,2204541,8/23/2022,SHORELINE ,Niagara,  PORTER ,  3881 RIVER RD , 
61,2204542,8/23/2022,TRANSFORMER ,Orange,  WARWICK ,  57 FOLEY ROAD , 
62,2204544,8/23/2022,AL'S TOWING ,Rensselaer,  MELROSE ,  751 NY 40 , 
63,2204543,8/23/2022,LEAKING DELIVERY HOSE ,Dutchess,  WAPPINGERS FALLS ,  79 PYE LANE , 
64,2204545,8/23/2022,RESIDENTIAL ,Chautauqua,  FALCONER ,  282 EAST MOSER STREET , 
65,2204546,8/23/2022,VEHICLE LEAK ,Ulster,  WARWARSING ,  899 ST RT 55 , 
66,2204547,8/23/2022,LEAKING DELIVERY HOSE ,Dutchess,  WAPPINGERS FALLS ,  79 PYE LANE , 
67,2204548,8/23/2022,ROADWAY ,Rensselaer,  TROY ,  221 CONGRESS ST , 
68,2204549,8/23/2022,RESIDENTIAL OVERFILL ,Westchester,  MOUNT KISCO ,  1 HIGH MEADOWS , 
69,2204550,8/23/2022,FOX RESIDENCE ,Nassau,  SANDS POINT ,  21 WOODLAND DRIVE , 
70,2204551,8/23/2022,POLE 53739/48628 ,Orange,  MONROE ,  11 MERIBETH LANE , 
71,2204552,8/23/2022,JFK AIRPORT ,Queens,  QUEENS ,  TERMIAL 8 BUILDING , 
72,2204553,8/23/2022,MCGUIRE RESIDENCE ,Suffolk,  EAST HAMPTON ,  42 OSBORNE LN , 
73,2204554,8/23/2022,OAKRIDGE WWTP ,Westchester,  SOUTH SALEM ,  400 OAKRIDGE DR , 
74,2204555,8/23/2022,SADDLE TANK LEAK ,Orange,  NEW WINDSOR ,  NYS THRUWAY MM 57.2 NB , 
75,2204556,8/23/2022,RESIDENCE ,Oswego,  MEXICO ,  60 WELLWOOD DRIVE , 
76,2204557,8/23/2022,SPEEDWAY ,Nassau,  BETHPAGE ,  4165 HEMPSTEAD TPKE , 
77,2204558,8/23/2022,ROADSIDE DITCH ,Niagara,  WILSON ,  3336 YOUNGSTOWN LOCKPORT RD , 
78,2204559,8/23/2022,NATIONAL GRID ,Columbia,  HUDSON ,  555 UNION ST , 
79,2204560,8/23/2022,UNKNOWN ,Suffolk,  HUNTINGTON ,  12 EDWIN LN , 
80,2204561,8/23/2022,PASTENEZ RESIDENCE ,Nassau,  UNIONDALE ,  303 LACLEDE AVE , 
81,2204562,8/24/2022,PAVEMENT AND DRAIN ,Westchester,  YORKTOWN ,  281 CORDIAL ROAD , 
82,2204563,8/24/2022,TERMINAL 8 GATE 41 ,Queens,  JAMAICA ,  JFK , 
83,2204564,8/24/2022,ROADWAY ,Orange,  WARWICK ,  6 JONATHON COURT , 
84,2204565,8/24/2022,RESIDENCE ,Jefferson,  THERESA ,  27318 SR RT 26 , 
85,2204566,8/24/2022,DOLOMITE PRODUCTS ,Monroe,  BROCKPORT ,  5251 SWEDEN WALKER ROAD , 
86,2204567,8/24/2022,SULGER RESIDENCE ,Suffolk,  HUNTINGTON STATION ,  31 VIA CONTINENTAL , 
87,2204568,8/24/2022,COMMERCIAL ,Orange,  NEWBURGH ,  94 STEWART AVE , 
88,2204569,8/24/2022,MALONE'S GARAGE ,St Lawrence,  RAYMONDVILLE ,  5 RAYMOND ST , 
89,2204570,8/24/2022,DIESEL_BROOMEBITUMINOUS ,Broome,  VESTAL ,  416 PRENTICE ROAD , 
90,2204571,8/24/2022,CASELLA WASTE ,Ontario,  CANANDAIGUA ,  YAUTZY ROAD , 
91,2204572,8/24/2022,HORNBECK RESIDENCE ,Suffolk,  CENTEREACH ,  2 RONDELL LN , 
92,2204573,8/24/2022,UNKNOWN ,Nassau,  ALBERTSON ,  I U WILLITS RD/HEMLOCK LN , 
93,2204610,8/24/2022,FORMER GASOLINE FUELING STATION ,Erie,  WEST SENECA ,  1445-1465 UNION ROAD , 
94,2204574,8/24/2022,UNKNOWN ,Suffolk,  WATER MILL ,  114 ROSE WAY , 
95,2204575,8/24/2022,BERGER / BS UPSTATE LLC ,Orange,  WALDEN ,  14 RIVERVIEW STREET , 
96,2204576,8/24/2022,SOIL ,Erie,  AMHERST ,  33 IVYHURST , 
97,2204577,8/24/2022,WELL ,Cayuga,  AUBURN ,  4331 SAM ADAMS LANE , 
98,2204578,8/24/2022,LS POWER ,Herkimer,  GERMAN FLATS ,  629 WARREN ROAD , 
99,2204579,8/24/2022,COMMERCIAL ,Schoharie,  SHARON SPRINGS ,  HIGHWAY 20/BEACH ROAD , 
100,2204580,8/24/2022,UNKNOWN ,Suffolk,  PECONIC ,  1820 MILL RD , 
101,2204581,8/24/2022,SLONA RESIDENCE ,Orange,  WARWICK ,  118 ONDERDONK ROAD , 
102,2204582,8/24/2022,ROCHESTER GAS & ELECTRIC ,Monroe,  ROCHESTER ,  274 GOODMAN ST NORTH , 
103,2204583,8/24/2022,ABANDONED RESIDENCE ,Columbia,  HUDSON ,  6877 RT 9 , 
104,2204584,8/24/2022,7-ELEVEN #40184 ,Onondaga,  SYRACUSE ,  200 NORTH STATE ST , 
105,2204586,8/24/2022,COMMERCIAL ,Erie,  TONAWANDA ,  5555 RIVER RD , 
106,2204587,8/24/2022,CHG&E TRANSFORMER ,Ulster,  SAUGERTIES ,  110 LAUREN TICE RD , 
107,2204588,8/24/2022,UNKNOWN ,Suffolk,  COMMACK ,  51 CALVERT AVE , 
108,2204589,8/24/2022,BORG WARNER USTS ,Tompkins,  ITHACA ,  800 WARREN RD , 
109,2204590,8/24/2022,MILEPOST 133.6 NB ,Albany,  COEYMANS ,  I-87 , 
110,2204591,8/24/2022,AIRFEILD RAMP ,Jefferson,  FORT DRUM ,  19710 FOB SHANK RD , 
111,2204592,8/24/2022,GHAZZAOUI RESIDENCE ,Suffolk,  HAMPTON BAYS ,  64 INLET ROAD , 
112,2204593,8/24/2022,WIND TOWER SITE - OFF OF HINKLE HOLLOW ROAD ,Steuben,  COHOCTON ,  9607 REX RD , 
113,2204594,8/24/2022,OIL LEAK FROM CAR - NEIGHBOR ,Monroe,  CHURCHVILLE ,  178 GREENWAY BLVD , 
114,2204595,8/24/2022,RAIL ROAD PROPERTY ,Erie,  DEPEW ,  PENORA AND MAIN ST , 
115,2204596,8/24/2022,TRUCKSTOP-TERMINAL RD ,Onondaga,  SALINA ,  107 7TH NORTH ST , 
116,2204597,8/24/2022,POLE 71 ,Cattaraugus,  ALLEGANY ,  4687 SOUTH 9 MILE RD , 
117,2204598,8/25/2022,FEDEX GROUND FACILITY ,Queens,  MASPETH ,  4605 57TH AVE , 
118,2204599,8/25/2022,BHANGU TRACTOR TRAILER OIL LEAK ,Greene,  CATSKILL ,  SR 9W , 
119,2204600,8/25/2022,TUXEDO SUSHI ,Orange,  TUXEDO ,  233 ROUTE 17 , 
120,2204601,8/25/2022,CONSTRUCTION SITE ,Lewis,  LOWVILLE ,  4544 BUELL RD , 
121,2204602,8/25/2022,MAIKOWSKI RESIDENCE ,Suffolk,  HOLBROOK ,  29 LINCOLN AVE , 
122,2204603,8/25/2022,COMMERCIAL ,Schenectady,  SCOTIA ,  222 SOUTH PEN BROCK ST , 
123,2204604,8/25/2022,STREAM ,Rockland,  BLAUVELT ,  BRADLEY PKWY/PINE GLEN DR , 
124,2204605,8/25/2022,SOIL AND PAVEMENT ,Bronx,  BRONX ,  4138 BAYCHESTER AVE , 
125,2204606,8/25/2022,ROADWAY ,Nassau,  BETHPAGE ,  HICKSVILLE RD AND PATRICIA COURT , 
126,2204607,8/25/2022,COMMERCIAL ,Kings,  BROOKLYN ,  111 HUDSON AVE , 
127,2204608,8/25/2022,SOIL ,Putnam,  MAHOPAC ,  29 BASS ROAD , 
128,2204609,8/25/2022,PRIVATE OWNER ,Erie,  BUFFALO ,  327 GRIDER ST LOWER , 
129,2204717,8/25/2022,FORMER ANDREE PETROLEUM BULK PLANT ,Tompkins,  ITHACA ,  684 THIRD ST , 
130,2204611,8/25/2022,COMMERCIAL - UST ,Westchester,  DOBBS FERRY ,  41 CEDAR ST , 
131,2204612,8/25/2022,SOIL ,Erie,  AMHERST ,  154 CORSICA WAY , 
132,2204613,8/25/2022,STEWARTS SHOP 290 ,Orange,  PINE BUSH ,  81 BONIFACE DR , 
133,2204614,8/25/2022,UNKNOWN ,Suffolk,  HUNTINGTON STATION ,  40 EAST 20TH STREET , 
134,2204615,8/25/2022,RESIDENCE ,Richmond,  STATEN ISLAND ,  649 CLAWSON ST , 
135,2204617,8/25/2022,AW SCRAP PROCESSORS ,Dutchess,  WAPPINGER FALLS ,  1980 RTE 9D , 
136,2204619,8/25/2022,AW SCRAP PROCESSORS ,Dutchess,  WAPPINGER FALLS ,  1980 RTE 9D , 
137,2204616,8/25/2022,TRANSFORMER - POLE #5 ,Oneida,  UTICA ,  41 NOTRE DAME LANE , 
138,2204618,8/25/2022,REFRIGERANT_CORNELL ,Tompkins,  ITHACA ,  19 HELIOS CIRCLE , 
139,2204620,8/25/2022,ABANDONED DRUM ,Suffolk,  KINGS PARK ,  ACROSS 294 B OLD NORTHPORT RD , 
140,2204621,8/25/2022,AW SCRAP PROCESSING CENTER ,Dutchess,  WAPPINGERS FALLS ,  1980 ROUTE 9D , 
141,2204622,8/25/2022,UNKNOWN ,Suffolk,  MATTITUCK ,  10095 MAIN ROAD , 
142,2204623,8/25/2022,ST MARY'S CAMPUS ,Monroe,  ROCHESTER ,  89 GENESEE ST , 
143,2204624,8/25/2022,WALKER RESIDENCE ,Suffolk,  SMITHTOWN ,  10 HILL LANE , 
144,2204625,8/25/2022,CONSTRUCTION SITE ,Lewis,  LOWVILLE ,  8025 STATE ROUTE 12 , 
145,2204626,8/25/2022,RESIDENCE ,Suffolk,  WEST ISLIP ,  56 JEAN RD , 
146,2204627,8/25/2022,CUL-DE-SAC IN FRONT OF ,Broome,  BINGHAMTON ,  10 PERKINS AVE , 
147,2204628,8/25/2022,OSWEGO RIVER PORT AUTHORITY ,Oswego,  OSWEGO ,  OSWEGO RIVER , 
148,2204629,8/25/2022,NATIONAL GRID RIGHT OF WAY ,Columbia,  HUDSON ,  120 EASTOK RD , 
149,2204630,8/25/2022,CUMBERLAND FARMS # 3122 ,Saratoga,  MECHANICVILLE ,  77 SOUTH CENTRAL AVE , 
150,2204631,8/25/2022,RESIDENCE ,Suffolk,  BRENTWOOD ,  42 HARRISON ST , 
151,2204632,8/25/2022,NORLITE FACILITY - FINISH PLANT ,Albany,  COHOES ,  628 SOUTH SARATOGA , 
152,2204633,8/26/2022,CUMBERLAND FARMS ,Rensselaer,  NASSAU ,  2 CHATHAM ST , 
153,2204634,8/26/2022,UNKNOWN ,Nassau,  SYOSSET ,  39 TAMMYS LANE , 
154,2204635,8/26/2022,HEWLETT OPERATION CENTER ,Nassau,  HEWLETT ,  MILL ROAD AND PENINSULA BLVD , 
155,2204636,8/26/2022,LOADER HYD LINE BREAK ,Livingston,  MOUNT MORRIS ,  5520 ROUTE 63 , 
156,2204637,8/26/2022,BIG TREE SUBSTATION ,Erie,  ORCHARD PARK ,  5379 BIG TREE RD , 
157,2204638,8/26/2022,NORTH ALBANY TERMINAL ,Albany,  GLENMONT ,  552 RIVER ROAD , 
158,2204639,8/26/2022,ON THE ROAD ,Saratoga,  BALLSTON LAKE ,  276 LAKE RD , 
159,2204640,8/26/2022,STAINING OUTSIDE ,Onondaga,  SYRACUSE ,  201 NORTH CROUSE AVE , 
160,2204641,8/26/2022,COMMERCIAL ,Bronx,  BRONX ,  401 HUNTS POINT AVE , 
161,2204642,8/26/2022,AMERICAN ROCKSALT PLANT - MANLIFT HYD LEAK ,Livingston,  MT MORRIS ,  5520 ROUTE 63 , 
162,2204644,8/26/2022,LAND/ROADWAY ,Suffolk,  LINDENHURST ,  33 BRISTOL ST , 
163,2204643,8/26/2022,ROADWAY MVA ,Otsego,  MARYLAND ,  MILE MARKER 62.5 I88 W , 
164,2204645,8/26/2022,MONICO RESIDENCE ,Putnam,  BREWSTER ,  25 LAKESIDE RD , 
165,2204646,8/26/2022,GOWANUS CANAL ,Kings,  BROOKLYN ,  365 BOND ST , 
166,2204647,8/26/2022,BORG WARNER USTS ,Tompkins,  ITHACA ,  800 WARREN RD , 
167,2204648,8/26/2022,MILKY UNNAMED STREAM ,Dutchess,  POUGHKEEPSIE ,  142 COLLEGE AVE , 
168,2204652,8/26/2022,GARBAGE TRUCK ,Erie,  BUFFALO ,  12 FERGUSON , 
169,2204649,8/26/2022,TRUCK AT PACTIV ,Ontario,  CANANDAIGUA ,  2480 SOMMERS DRIVE , 
170,2204651,8/26/2022,AW SCRAP PROCESSORS ,Dutchess,  WAPPINGER FALLS ,  1980 RTE 9D , 
171,2204650,8/26/2022,CONCRETE ,Queens,  QUEENS ,  9302 SUTPHIN BLVD , 
172,2204653,8/26/2022,TRANSMISSION LINE RITE OF WAY ,Dutchess,  CLINTON CORNERS ,  30 MAPLE LN , 
173,2204654,8/26/2022,CON ED TRANSFORMER ,Westchester,  NEW ROCHELLE ,  99 5TH AVE , 
174,2204655,8/26/2022,PARSONS RESIDENCE ,Suffolk,  OAKDALE ,  167 BRIDLE WAY , 
175,2204656,8/26/2022,COMMERCIAL ,Richmond,  STATEN ISLAND ,  142 GURLEY AVE , 
176,2204657,8/26/2022,SALERNO - UST ,Westchester,  CORTLANDT MANOR ,  12 NORTHRIDGE RD , 
177,2204658,8/26/2022,LEAKING VEHICLE ,Westchester,  PORT CHESTER ,  BOWMAN AVE & WEBB AVE , 
178,2204659,8/26/2022,WG FARMS TANK #13 ,Orange,  NEW HAMPTON ,  11 GURDA LN , 
179,2204660,8/26/2022,ESPERIANZA RESIDENCE ,Nassau,  GLEN HEAD ,  39 BEECHWOOD DR , 
180,2204661,8/26/2022,POLE 11-1 ,Fulton,  MAYFIELD ,  219 MOUNTAIN RD , 
181,2204662,8/26/2022,GARCIA RESIDENCE ,Nassau,  VALLEY STREAM ,  123 FOREST ROAD , 
182,2204663,8/26/2022,POLE BEHIND ADDRESS ,Erie,  KENMORE ,  1965 SHERIDAN DR , 
183,2204664,8/27/2022,UNKNOWN ,Suffolk,  HOLTSVILLE ,  25 MIDDLE AVE , 
184,2204665,8/27/2022,COMMERCIAL ,Queens,  JAMAICA ,  JFK TERMINAL 2 GATE 61 , 
185,2204666,8/27/2022,NAT GRID PARKING LOT ,Oneida,  UTICA ,  221 OLD CAMPION RD , 
186,2204667,8/27/2022,AMERICAN ROCK SALT ,Livingston,  MT MORRIS ,  5520 RT 63 , 
187,2204668,8/27/2022,RYE NECK HIGH SCHOOL ,Westchester,  MAMARONECK ,  300 HORNRIDGE RD , 
188,2204669,8/27/2022,WILMINGTON BEACH ,Essex,  WILMINGTON ,  BOWMAN LANE , 
189,2204670,8/27/2022,RYE NECK HIGH SCHOOL ,Westchester,  MAMARONECK ,  300 HORNRIDGE RD , 
190,2204671,8/27/2022,FACILITY ,Bronx,  BRONX ,  960 E 134 ST , 
191,2204672,8/27/2022,JFK ,Queens,  QUEENS ,  AIRPORT ROAD , 
192,2204673,8/27/2022,WILSON RESIDENCE ,Nassau,  WESTBURY ,  18 DOGWOOD LANE , 
193,2204674,8/27/2022,COMMERCIAL ,Queens,  FLUSHING ,  1 MARINE TERMINAL ROAD/5 TOWERS RAMP , 
194,2204675,8/27/2022,STARTS ,Dutchess,  RHINEBECK ,  199 EAST CROSSING RT 9G , 
195,2204676,8/27/2022,WATERWAY ,Warren,  LAKE GEORGE ,  SUNCASTLE LAKE GEORGE 3178 RT 9N , 
196,2204677,8/27/2022,ROADWAY ,Ulster,  SAUGERTIES ,  570 KINGS HIGHWAY , 
197,2204678,8/27/2022,CUMBERLAND FARMS 3154 ,Ulster,  WOODSTOCK ,  63 MILL HILL RD , 
198,2204679,8/27/2022,JFK ,Queens,  QUEENS ,  TERMINAL 8 GATE 39 , 
199,2204680,8/27/2022,WHIRPOOL STATE PARK ,Niagara,  NIAGRA FALLS ,  NIAGARA SCENIC PARKWAY , 
200,2204681,8/27/2022,UNKNOWN ,Suffolk,  SOUTHAMPTON ,  20 PETREL ROAD , 
201,2204682,8/27/2022,TERMINAL 4; ATE A2 STAGING AREA ,Queens,  QUEENS ,  JFK , 
202,2204683,8/27/2022,UNKNOWN ,Nassau,  EAST NORWICH ,  8 HUCKLEBERRY LANE , 
203,2204684,8/27/2022,EISENHARDT RESIDENCE ,Suffolk,  MILLER PLACE ,  48 HENEARLY DRIVE , 
204,2204685,8/28/2022,EATON CROUSE-HINDS ,Onondaga,  SYRACUSE ,  1201 WOLF ST , 
205,2204686,8/28/2022,UNKNOWN ,Suffolk,  EAST HAMPTON ,  51 DAVIDS LANE , 
206,2204687,8/28/2022,ROADWAY ,Suffolk,  ROCKY POINT ,  25 NEPTUNE ROAD , 
207,2204688,8/28/2022,WASTE TREATMENT PLANT ,Ontario,  CANANDAIGUA ,  183 SALTONSTALL ST , 
208,2204689,8/28/2022,AIR QUALITY ,Queens,  SOUTH OZONE PARK ,  12513 ROCKAWAY BLVD , 
209,2204690,8/28/2022,TRANSFORMER ,Orange,  WESTTOWN ,  797 ROUTE 284 , 
210,2204691,8/28/2022,LAKE GEORGE ,Warren,  KATSKILL BAY ,  2408 WINTERGREEN WAY , 
211,2204692,8/28/2022,SHAFIQ RESIDENCE ,Nassau,  EAST MEADOW ,  255 CHESTNUT AVE , 
212,2204693,8/28/2022,POLE 10211 ,Genesee,  DARIEN CENTER ,  10203 ALLEGHANY RD , 
213,2204694,8/29/2022,THRUWAY 225.5 EASTBOUND ,Herkimer,  SCHUYLER ,  THRUWAY 225.5 EASTBOUND , 
214,2204695,8/29/2022,TRANSFORMER ,Putnam,  KENTCLIFF ,  857 GULF ROAD , 
215,2204696,8/29/2022,RESIDENTIAL PAINT ,Albany,  ALBANY ,  252 CLINTON AVE , 
216,2204697,8/29/2022,PADMOUNT U078U3 ,Erie,  WEST SENECA ,  510 CENTER ST , 
217,2204698,8/29/2022,WASTE WATER PLANT ,Montgomery,  FONDA ,  29 SOUTH BRIDGE ST , 
218,2204699,8/29/2022,GOUNDER RESIDENCE ,Suffolk,  MEDFORD ,  6 MEADOW AVE , 
219,2204700,8/29/2022,RESIDENTIAL - 4429 ALLENS POINT ROAD ,Cayuga,  UNION SPRINGS ,  4429 ALLENS POINT ROAD , 
220,2204701,8/29/2022,RESIDENCE ,Sullivan,  MONTICELLO ,  14 DOWNS RD , 
221,2204702,8/29/2022,GREAT LAKES CHEESE PLANT ,Allegany,  CUBA ,  4520 HASKELL RD , 
222,2204703,8/29/2022,BUCCI - AST ,Westchester,  SCARSDALE ,  44 FARLEY ROAD , 
223,2204704,8/29/2022,TRANSFORMER ON POLE ,Livingston,  PIFFARD ,  ROW NEAR 2246 MAIN ST , 
224,2204705,8/29/2022,TRENCHER LEAK ,Steuben,  COHOCTON ,  9607 REX ROAD , 
225,2204706,8/29/2022,CHINA STAR ,Schenectady,  SCHENETADY ,  1400 ALTAMONT AVE , 
226,2204707,8/29/2022,ATTILI - UST ,Westchester,  YONKERS ,  76 MORSEMERE AVENUE , 
227,2204710,8/29/2022,NY TREE AND LAWN SERVICE ,Nassau,  ROOSEVELT ,  61 NASSAU RD , 
228,2204708,8/29/2022,SOILS_DOT ,Tompkins,  ITHACA ,  989 DRYDEN ROAD , 
229,2204709,8/29/2022,RESIDENTIAL ,Westchester,  YONKERS ,  110 ASHBURTON AVE , 
230,2204711,8/29/2022,SYRACUSE UNIV - MANLIUS ATHLETIC COMPLEX ,Onondaga,  SYRACUSE ,  1075 COMSTOCK AVE , 
231,2204712,8/29/2022,CLEAN AIR GROUP ,Nassau,  HICKSVILLE ,  176 MILLER PLACE , 
232,2204713,8/29/2022,RESIDENTIAL ,Cattaraugus,  CATTARAUGUS ,  9832 RITTER ROAD , 
233,2204714,8/29/2022,COMMERCIAL ,Ontario,  VICTOR ,  672 EASTVIEW MALL WAY , 
234,2204715,8/29/2022,COMMERCIAL ,Cattaraugus,  LITTLE VALLEY ,  105 ROCK CITY STREET , 
235,2204716,8/29/2022,GAS STATION/US PETROLUEM ,Suffolk,  PORT JEFFERSON STATION ,  1575 RTE 112 , 
236,2204718,8/29/2022,COMMERCIAL ,Wyoming,  GENESEE FALLS ,  7 LETCHWORTH STATE PARK ROAD , 
237,2204719,8/29/2022,FROM DUMPSTER ,Onondaga,  LIVERPOOL ,  4651 CROSSROADS PARK DR , 
238,2204720,8/29/2022,EASTERN GAS ,Herkimer,  SAUQUOIT ,  1103 HIGBY RD , 
239,2204721,8/29/2022,POWER PLANT ,Suffolk,  BRENTWOOD ,  PILGRIM STATE PROPERTY , 
240,2204722,8/29/2022,GARBAGE TRUCK FIRE ,Westchester,  PELHAM ,  219 5TH AVE , 
241,2204723,8/29/2022,NATIONAL GRID TRANSFORMER ,Chautauqua,  ELLERY ,  4704 CRESCENT VIEW , 
242,2204724,8/29/2022,DUMA - UST ,Westchester,  ELMSFORD ,  18 SOUTH GOODWIN AVE , 
